d_key,d_value,associations,load,seed,key_regime,value_regime,epsilon,numerical_rank,full_row_rank,minimum_gram_eigenvalue,gram_condition_number,system_condition_number,mean_relative_error,median_relative_error,p90_relative_error,p99_relative_error,maximum_relative_error,relative_frobenius_error,exact_recall_rate,mean_c_q,median_c_q,maximum_c_q,theorem_frobenius_bound,actual_to_theorem_bound,fp64_roundoff_allowance,actual_to_bound_with_fp64_allowance
8,16,1,0.125,0,orthogonal,gaussian,1e-12,1,True,1.0,1.0,1000000000001.0001,9.999329064329158e-13,9.999329064329158e-13,9.999329064329158e-13,9.999329064329158e-13,9.999329064329158e-13,9.999329064329158e-13,1.0,0.9999999999990001,0.9999999999990001,0.9999999999990001,4.3454648635647256e-12,0.9999329064339157,2.4701107938478067e-13,0.9461504784802548
8,1,1,0.125,0,orthogonal,one_hot,1e-12,1,True,1.0,1.0,1000000000001.0001,9.99866855977416e-13,9.99866855977416e-13,9.99866855977416e-13,9.99866855977416e-13,9.99866855977416e-13,9.99866855977416e-13,1.0,0.9999999999990001,0.9999999999990001,0.9999999999990001,9.99999999999e-13,0.999866855978416,5.684341886080802e-14,0.9460879806169754
8,16,1,0.125,0,orthogonal,binary,1e-12,1,True,1.0,1.0,1000000000001.0001,9.99866855977416e-13,9.99866855977416e-13,9.99866855977416e-13,9.99866855977416e-13,9.99866855977416e-13,9.99866855977416e-13,1.0,0.9999999999990001,0.9999999999990001,0.9999999999990001,9.99999999999e-13,0.999866855978416,5.684341886080802e-14,0.9460879806169754
8,16,1,0.125,0,orthogonal,gaussian,1e-10,1,True,1.0,1.0,10000000001.0,1.0000004755978586e-10,1.0000004755978586e-10,1.0000004755978586e-10,1.0000004755978586e-10,1.0000004755978586e-10,1.0000004755978586e-10,1.0,0.9999999998999999,0.9999999998999999,0.9999999998999999,4.3454648631345246e-10,1.0000004756978587,2.4701107938478067e-13,0.9994323641728046
8,1,1,0.125,0,orthogonal,one_hot,1e-10,1,True,1.0,1.0,10000000001.0,1.0000011929633956e-10,1.0000011929633956e-10,1.0000011929633956e-10,1.0000011929633956e-10,1.0000011929633956e-10,1.0000011929633956e-10,1.0,0.9999999998999999,0.9999999998999999,0.9999999998999999,9.999999999e-11,1.0000011930633959,5.684341886080802e-14,0.9994330811307983
8,16,1,0.125,0,orthogonal,binary,1e-10,1,True,1.0,1.0,10000000001.0,1.0000011929633956e-10,1.0000011929633956e-10,1.0000011929633956e-10,1.0000011929633956e-10,1.0000011929633956e-10,1.0000011929633956e-10,1.0,0.9999999998999999,0.9999999998999999,0.9999999998999999,9.999999999e-11,1.0000011930633959,5.684341886080802e-14,0.9994330811307983
8,16,1,0.125,0,orthogonal,gaussian,1e-08,1,True,1.0,1.0,100000000.99999999,9.999999835590786e-09,9.999999835590786e-09,9.999999835590786e-09,9.999999835590786e-09,9.999999835590786e-09,9.999999835590786e-09,1.0,0.9999999900000002,0.9999999900000002,0.9999999900000002,4.3454648201144234e-08,0.9999999935590784,2.4701107938478067e-13,0.9999943092494836
8,1,1,0.125,0,orthogonal,one_hot,1e-08,1,True,1.0,1.0,100000000.99999999,9.999999828202988e-09,9.999999828202988e-09,9.999999828202988e-09,9.999999828202988e-09,9.999999828202988e-09,9.999999828202988e-09,1.0,0.9999999900000002,0.9999999900000002,0.9999999900000002,9.999999900000002e-09,0.9999999928202985,5.684341886080802e-14,0.999994308510708
8,16,1,0.125,0,orthogonal,binary,1e-08,1,True,1.0,1.0,100000000.99999999,9.999999828202988e-09,9.999999828202988e-09,9.999999828202988e-09,9.999999828202988e-09,9.999999828202988e-09,9.999999828202988e-09,1.0,0.9999999900000002,0.9999999900000002,0.9999999900000002,9.999999900000002e-09,0.9999999928202985,5.684341886080802e-14,0.999994308510708
8,16,1,0.125,0,orthogonal,gaussian,1e-06,1,True,1.0,1.0,1000001.0,9.99998999994171e-07,9.99998999994171e-07,9.99998999994171e-07,9.99998999994171e-07,9.99998999994171e-07,9.99998999994171e-07,1.0,0.999999000001,0.999999000001,0.999999000001,4.3454605181085535e-06,0.999999999993171,2.4701107938478067e-13,0.9999999431496985
8,1,1,0.125,0,orthogonal,one_hot,1e-06,1,True,1.0,1.0,1000001.0,9.999990000508774e-07,9.999990000508774e-07,9.999990000508774e-07,9.999990000508774e-07,9.999990000508774e-07,9.999990000508774e-07,1.0,0.999999000001,0.999999000001,0.999999000001,9.99999000001e-07,1.0000000000498774,5.684341886080802e-14,0.999999943206405
8,16,1,0.125,0,orthogonal,binary,1e-06,1,True,1.0,1.0,1000001.0,9.999990000508774e-07,9.999990000508774e-07,9.999990000508774e-07,9.999990000508774e-07,9.999990000508774e-07,9.999990000508774e-07,1.0,0.999999000001,0.999999000001,0.999999000001,9.99999000001e-07,1.0000000000498774,5.684341886080802e-14,0.999999943206405
8,16,1,0.125,0,orthogonal,gaussian,0.0001,1,True,1.0,1.0,10001.0,9.999000099995791e-05,9.999000099995791e-05,9.999000099995791e-05,9.999000099995791e-05,9.999000099995791e-05,9.999000099995791e-05,1.0,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.0004345030360533018,1.000000000000579,2.4701107938478067e-13,0.9999999994320881
