experiment,fairness,d_key,d_value,associations,seed,key_regime,coefficient_kind,coefficient_sum,coefficient_minimum,coefficient_maximum,method,state_bytes,budget_bytes,budget_fraction,estimated_flops_per_query,selected_temperature,absolute_error,relative_error,convex_hull_distance,error_minus_hull_distance,minimum_softmax_weight,softmax_weight_sum_error
linear_functional,equal_state_budget,16,16,16,0,random_gaussian,coefficient_gt_one,1.75,0.0,1.5,csm,4096,4096,1.0,1024,nan,2.0474417245610655e-09,1.346389384338294e-09,0.5590169943749475,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,random_gaussian,coefficient_gt_one,1.75,0.0,1.5,hebbian,2048,4096,0.5,512,nan,1.2895901035014237,0.8480292282185798,0.5590169943749475,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,random_gaussian,coefficient_gt_one,1.75,0.0,1.5,softmax,4096,4096,1.0,1104,1e-08,0.5590169943749475,0.3676073110469039,0.5590169943749475,0.0,0.0,0.0
linear_functional,equal_state_budget,16,16,16,0,random_gaussian,coefficient_gt_one,1.75,0.0,1.5,linear_attention,2176,4096,0.53125,576,nan,1.4604992329519073,0.9604183794301787,0.5590169943749475,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,random_gaussian,coefficient_gt_one,1.75,0.0,1.5,least_squares,4096,4096,1.0,1024,nan,3.391168271857366e-15,2.2300185187016385e-15,0.5590169943749475,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,random_gaussian,positive_sum_two,2.0,0.014705882352941176,0.23529411764705882,csm,4096,4096,1.0,1024,nan,4.930913255946014e-10,8.669029453282007e-10,0.25906294630831,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,random_gaussian,positive_sum_two,2.0,0.014705882352941176,0.23529411764705882,hebbian,2048,4096,0.5,512,nan,0.583490905309501,1.025834278822614,0.25906294630831,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,random_gaussian,positive_sum_two,2.0,0.014705882352941176,0.23529411764705882,softmax,4096,4096,1.0,1104,1.0,0.35518569867002175,0.6244513183114649,0.25906294630831,0.09612275236171175,0.05117810020613929,0.0
linear_functional,same_dimension,16,16,16,0,random_gaussian,positive_sum_two,2.0,0.014705882352941176,0.23529411764705882,linear_attention,2176,4096,0.53125,576,nan,0.36837856369651234,0.6476456698547428,0.25906294630831,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,random_gaussian,positive_sum_two,2.0,0.014705882352941176,0.23529411764705882,least_squares,4096,4096,1.0,1024,nan,1.7646469763197674e-15,3.102422577382405e-15,0.25906294630831,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,random_gaussian,positive_sum_two,2.0,0.014705882352941176,0.23529411764705882,csm,4096,4096,1.0,1024,nan,4.930913255946014e-10,8.669029453282007e-10,0.25906294630831,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,random_gaussian,positive_sum_two,2.0,0.014705882352941176,0.23529411764705882,hebbian,2048,4096,0.5,512,nan,0.583490905309501,1.025834278822614,0.25906294630831,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,random_gaussian,positive_sum_two,2.0,0.014705882352941176,0.23529411764705882,softmax,4096,4096,1.0,1104,1.0,0.35518569867002175,0.6244513183114649,0.25906294630831,0.09612275236171175,0.05117810020613929,0.0
linear_functional,equal_state_budget,16,16,16,0,random_gaussian,positive_sum_two,2.0,0.014705882352941176,0.23529411764705882,linear_attention,2176,4096,0.53125,576,nan,0.36837856369651234,0.6476456698547428,0.25906294630831,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,random_gaussian,positive_sum_two,2.0,0.014705882352941176,0.23529411764705882,least_squares,4096,4096,1.0,1024,nan,1.7646469763197674e-15,3.102422577382405e-15,0.25906294630831,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,random_gaussian,mixed_nonunit,1.5,-1.5,2.0,csm,4096,4096,1.0,1024,nan,1.2189156487287848e-08,4.648761882035672e-09,1.9685019685029528,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,random_gaussian,mixed_nonunit,1.5,-1.5,2.0,hebbian,2048,4096,0.5,512,nan,1.9677340654660183,0.7504643268023943,1.9685019685029528,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,random_gaussian,mixed_nonunit,1.5,-1.5,2.0,softmax,4096,4096,1.0,1104,1e-08,1.9685019685029528,0.7507571935295483,1.9685019685029528,0.0,0.0,0.0
linear_functional,same_dimension,16,16,16,0,random_gaussian,mixed_nonunit,1.5,-1.5,2.0,linear_attention,2176,4096,0.53125,576,nan,2.589522610326746,0.9876051731808577,1.9685019685029528,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,random_gaussian,mixed_nonunit,1.5,-1.5,2.0,least_squares,4096,4096,1.0,1024,nan,6.0332825255429655e-15,2.301003671381753e-15,1.9685019685029528,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,random_gaussian,mixed_nonunit,1.5,-1.5,2.0,csm,4096,4096,1.0,1024,nan,1.2189156487287848e-08,4.648761882035672e-09,1.9685019685029528,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,random_gaussian,mixed_nonunit,1.5,-1.5,2.0,hebbian,2048,4096,0.5,512,nan,1.9677340654660183,0.7504643268023943,1.9685019685029528,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,random_gaussian,mixed_nonunit,1.5,-1.5,2.0,softmax,4096,4096,1.0,1104,1e-08,1.9685019685029528,0.7507571935295483,1.9685019685029528,0.0,0.0,0.0
linear_functional,equal_state_budget,16,16,16,0,random_gaussian,mixed_nonunit,1.5,-1.5,2.0,linear_attention,2176,4096,0.53125,576,nan,2.589522610326746,0.9876051731808577,1.9685019685029528,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,random_gaussian,mixed_nonunit,1.5,-1.5,2.0,least_squares,4096,4096,1.0,1024,nan,6.0332825255429655e-15,2.301003671381753e-15,1.9685019685029528,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,correlated,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,csm,4096,4096,1.0,1024,nan,3.6313495989675576e-09,1.276853799472242e-08,3.3993498887762956e-17,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,correlated,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,hebbian,2048,4096,0.5,512,nan,3.381558070262606,11.89022194772552,3.3993498887762956e-17,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,correlated,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,softmax,4096,4096,1.0,1104,1.0,0.1368001196904425,0.48101607359605675,3.3993498887762956e-17,0.13680011969044248,0.060253557294821486,1.1102230246251565e-16
linear_functional,same_dimension,16,16,16,0,correlated,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,linear_attention,2176,4096,0.53125,576,nan,0.13509618183870714,0.4750246936400441,3.3993498887762956e-17,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,correlated,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,least_squares,4096,4096,1.0,1024,nan,3.728757444125212e-15,1.3111043098674178e-14,3.3993498887762956e-17,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,correlated,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,csm,4096,4096,1.0,1024,nan,3.6313495989675576e-09,1.276853799472242e-08,3.3993498887762956e-17,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,correlated,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,hebbian,2048,4096,0.5,512,nan,3.381558070262606,11.89022194772552,3.3993498887762956e-17,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,correlated,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,softmax,4096,4096,1.0,1104,1.0,0.1368001196904425,0.48101607359605675,3.3993498887762956e-17,0.13680011969044248,0.060253557294821486,1.1102230246251565e-16
linear_functional,equal_state_budget,16,16,16,0,correlated,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,linear_attention,2176,4096,0.53125,576,nan,0.13509618183870714,0.4750246936400441,3.3993498887762956e-17,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,correlated,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,least_squares,4096,4096,1.0,1024,nan,3.728757444125212e-15,1.3111043098674178e-14,3.3993498887762956e-17,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,correlated,negative_coefficients,0.3999999910593033,-0.6000000238418579,0.800000011920929,csm,4096,4096,1.0,1024,nan,3.565630817204307e-08,3.254960644443257e-08,0.6480740955929359,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,correlated,negative_coefficients,0.3999999910593033,-0.6000000238418579,0.800000011920929,hebbian,2048,4096,0.5,512,nan,1.6818083879082637,1.535273951448544,0.6480740955929359,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,correlated,negative_coefficients,0.3999999910593033,-0.6000000238418579,0.800000011920929,softmax,4096,4096,1.0,1104,0.01,0.7626238342315638,0.6961771126054087,0.6480740955929359,0.11454973863862783,1.7775446761610976e-07,0.0
