experiment,fairness,d_key,d_value,associations,load,seed,key_regime,epsilon,method,retained_associations,state_bytes,budget_bytes,budget_fraction,estimated_flops_per_query,selected_temperature,relative_frobenius_error,median_relative_error,p90_relative_error,maximum_relative_error,exact_recall_rate
associative_recall,equal_state_budget,16,4,4,0.25,0,random_gaussian,0.01,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,equal_state_budget,16,4,4,0.25,0,random_gaussian,0.01,linear_attention,4,640,2560,0.25,180,nan,0.8369124203262284,0.6214433816851159,1.0971099305772232,1.2337832429889728,0.0
associative_recall,equal_state_budget,16,4,4,0.25,0,random_gaussian,0.01,least_squares,4,640,2560,0.25,160,nan,3.545519675446857e-16,2.66514903761177e-16,7.212767273487234e-16,8.30344686916655e-16,1.0
associative_recall,same_dimension,16,4,4,0.25,0,correlated,1e-08,csm,4,2560,2560,1.0,640,nan,1.3615829174899282e-07,1.30638422728004e-07,1.4963781977362027e-07,1.569480599430332e-07,1.0
associative_recall,same_dimension,16,4,4,0.25,0,correlated,1e-08,hebbian,4,512,2560,0.2,128,nan,1.1399519892784309,1.0348307544052617,1.2598182028686609,1.2947030123971137,0.0
associative_recall,same_dimension,16,4,4,0.25,0,correlated,1e-08,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,same_dimension,16,4,4,0.25,0,correlated,1e-08,linear_attention,4,640,2560,0.25,180,nan,0.9658324579043573,0.8985854883650197,1.0368835867600201,1.060159877182053,0.0
associative_recall,same_dimension,16,4,4,0.25,0,correlated,1e-08,least_squares,4,640,2560,0.25,160,nan,1.000243697690745e-15,7.573992335716984e-16,1.3354603088783924e-15,1.58243155231109e-15,1.0
associative_recall,equal_state_budget,16,4,4,0.25,0,correlated,1e-08,csm,4,2560,2560,1.0,640,nan,1.3615829174899282e-07,1.30638422728004e-07,1.4963781977362027e-07,1.569480599430332e-07,1.0
associative_recall,equal_state_budget,16,4,4,0.25,0,correlated,1e-08,hebbian,4,512,2560,0.2,128,nan,1.1399519892784309,1.0348307544052617,1.2598182028686609,1.2947030123971137,0.0
