singular_exponent,system_condition_number,fp32_relative_read_error,fp32_status
0,1.0000000000000022,1.5221128909332437e-07,ok
1,99.99010098990105,6.899650379794605e-07,ok
2,9900.999999999425,2.339896434523409e-05,ok
3,500000.49999834236,0.0009137963915861236,ok
4,990099.999953646,0.0050217555854796874,ok
5,999901.0084706676,0.007299189441977899,ok
6,999999.1222386009,0.012372901285688838,ok
7,1000000.6617598798,0.002396982002974254,ok
8,1000000.145355157,0.006282448617344261,ok
