representation,key_condition,d_key,edges,hops_target,method,adaptive_reads,minimum_layer_depth,state_bytes,estimated_total_flops,median_microseconds_per_chain
random_nonorthogonal,correlated_0.8,64,64,1,softmax_repeated,1,1,65536,16704,40.8645
random_nonorthogonal,correlated_0.8,64,64,1,softmax_one,1,1,65536,16704,41.2695
random_nonorthogonal,correlated_0.8,64,64,2,csm_chained,2,1,65536,32768,1589.4985
random_nonorthogonal,correlated_0.8,64,64,2,softmax_repeated,2,2,65536,33408,84.5155
random_nonorthogonal,correlated_0.8,64,64,2,softmax_one,1,1,65536,16704,45.04
random_nonorthogonal,correlated_0.8,64,64,4,csm_chained,4,1,65536,65536,3244.7435
random_nonorthogonal,correlated_0.8,64,64,4,softmax_repeated,4,4,65536,66816,136.75
random_nonorthogonal,correlated_0.8,64,64,4,softmax_one,1,1,65536,16704,40.064
random_nonorthogonal,correlated_0.8,64,64,8,csm_chained,8,1,65536,131072,6413.2155
random_nonorthogonal,correlated_0.8,64,64,8,softmax_repeated,8,8,65536,133632,254.4365
random_nonorthogonal,correlated_0.8,64,64,8,softmax_one,1,1,65536,16704,39.895
random_nonorthogonal,correlated_0.8,64,64,16,csm_chained,16,1,65536,262144,12302.172
random_nonorthogonal,correlated_0.8,64,64,16,softmax_repeated,16,16,65536,267264,509.013
random_nonorthogonal,correlated_0.8,64,64,16,softmax_one,1,1,65536,16704,39.859
