n_remote,repeats,remote_mse,local_mse,full_residual_mse,routed_mse,mean_gate,predicted_routed_mse
8.0,120.0,0.5920797678233574,0.517930477510931,0.28940839593915,0.2787899478631608,0.8916994282501959,0.29111164368531195
16.0,120.0,0.2256713253127642,0.5696697232287996,0.14299827620685165,0.1296530361414129,0.7825685578166577,0.12306166483271351
32.0,120.0,0.06198630674809446,0.565627448600272,0.05069295921448214,0.04265490633350361,0.548755730898568,0.040837870090908994
64.0,120.0,0.021136305990887318,0.5178461583897399,0.034262447879514345,0.01735106703567531,0.3288113571877415,0.01650239170917732
128.0,120.0,0.008409792314424687,0.4416841090492847,0.026176525429323687,0.007638489852979987,0.16994751987032994,0.007978309827673082
256.0,120.0,0.0038596754377636195,0.5565939107651859,0.024156292141329406,0.003722414656236653,0.0877309947639934,0.003938974244346637
