prior_precision,condition_number,solve_inverse_relative_disagreement,finite
1e-12,2396397.112107723,7.390553594905316e-14,1.0
1e-10,2396385.267695604,7.109749466803366e-14,1.0
1e-08,2395201.4157262477,7.539338694455154e-14,1.0
1e-06,2282445.0493654874,4.249819834457944e-14,1.0
0.0001,399896.84494663763,1.169524791082011e-13,1.0
0.01,4791.34846072534,4.822444305929948e-14,1.0
1.0,48.99847312154687,2.0885135521093366e-14,1.0
