architecture,step,tokens,loss,gradient_norm,learning_rate,seed
transformer,1,16384,5.621044158935547,7.087777137756348,2e-06,0
transformer,100,1638400,3.247856855392456,0.7318452000617981,0.00010099999999999999,0
transformer,200,3276800,3.200298309326172,2.176908254623413,0.000201,0
transformer,300,4915200,2.6094322204589844,1.8727607727050781,0.0003,0
transformer,400,6553600,2.2854115962982178,0.9931546449661255,0.0002998022154774558,0
transformer,500,8192000,2.006143569946289,1.036301851272583,0.00029920944144637694,0
transformer,600,9830400,1.9183385372161865,0.9491304755210876,0.00029822341481829974,0
transformer,700,11468800,1.7873730659484863,0.8703816533088684,0.000296847024790348,0
transformer,800,13107200,1.6443638801574707,0.8444383144378662,0.0002950843043794774,0
transformer,900,14745600,1.5442949533462524,0.7938859462738037,0.0002929404186051671,0
transformer,1000,16384000,1.5484122037887573,0.6727012395858765,0.00029042164935518395,0
transformer,1100,18022400,1.4556269645690918,0.6673008799552917,0.00028753537697876505,0
transformer,1200,19660800,1.5194575786590576,0.6629706025123596,0.0002842900586611535,0
transformer,1300,21299200,1.437269926071167,0.6920933723449707,0.00028069520364285217,0
transformer,1400,22937600,1.3497766256332397,0.6600784063339233,0.000276761345356208,0
transformer,1500,24576000,1.3793797492980957,0.6293099522590637,0.0002725000105609687,0
transformer,1600,26214400,1.37844717502594,0.5398000478744507,0.00026792368556925104,0
transformer,1700,27852800,1.3793377876281738,0.5237681269645691,0.00026304577965888465,0
transformer,1800,29491200,1.3202402591705322,0.4771166741847992,0.000257880585782336,0
transformer,1900,31129600,1.3243942260742188,0.5303157567977905,0.0002524432386863418,0
transformer,2000,32768000,1.298295497894287,0.4830651879310608,0.00024674967056496547,0
transformer,2100,34406400,1.306389570236206,0.5158636569976807,0.00024081656437602135,0
transformer,2200,36044800,1.300797700881958,0.5323703289031982,0.00023466130495765428,0
transformer,2300,37683200,1.2851173877716064,0.4984896779060364,0.00022830192808831167,0
transformer,2400,39321600,1.2588717937469482,0.49208691716194153,0.00022175706763936804,0
transformer,2500,40960000,1.3006584644317627,0.4945286214351654,0.00021504590097525317,0
transformer,2600,42598400,1.242107629776001,0.4857989549636841,0.00020818809276106897,0
transformer,2700,44236800,1.2768363952636719,0.4835817217826843,0.00020120373734234645,0
transformer,2800,45875200,1.2871952056884766,0.5176934003829956,0.0001941132998657784,0
transformer,2900,47513600,1.2578092813491821,0.46839502453804016,0.00018693755631345283,0
transformer,3000,49152000,1.2017810344696045,0.4424952268600464,0.00017969753262629407,0
transformer,3100,50790400,1.204168677330017,0.44495540857315063,0.0001724144430950898,0
transformer,3200,52428800,1.2269203662872314,0.43151694536209106,0.00016510962819962639,0
transformer,3300,54067200,1.2315691709518433,0.4663572907447815,0.0001578044920780723,0
transformer,3400,55705600,1.184200406074524,0.44050273299217224,0.0001505204398098338,0
transformer,3500,57344000,1.1997754573822021,0.4535192549228668,0.00014327881469565249,0
transformer,3600,58982400,1.1983283758163452,0.47284725308418274,0.00013610083571872326,0
transformer,3700,60620800,1.2238751649856567,0.489492267370224,0.00012900753537007986,0
transformer,3800,62259200,1.202479362487793,0.4654085338115692,0.00012201969802042932,0
transformer,3900,63897600,1.2054758071899414,0.4820472300052643,0.0001151577990190132,0
transformer,4000,65536000,1.154142141342163,0.4461812973022461,0.00010844194469794638,0
transformer,4100,67174400,1.2307353019714355,0.4623258709907532,0.00010189181345782685,0
transformer,4200,68812800,1.1839377880096436,0.4473835229873657,9.552659810724608e-05,0
transformer,4300,70451200,1.15504789352417,0.4659270942211151,8.936494962515236e-05,0
transformer,4400,72089600,1.1779297590255737,0.4387194812297821,8.342492251085105e-05,0
transformer,4500,73728000,1.1887366771697998,0.46727046370506287,7.772392188177478e-05,0
transformer,4600,75366400,1.1724755764007568,0.4677586257457733,7.227865247403391e-05,0
transformer,4700,77004800,1.171571969985962,0.45947718620300293,6.710506969518295e-05,0
transformer,4800,78643200,1.1613411903381348,0.4721900224685669,6.221833287262574e-05,0
transformer,4900,80281600,1.130875587463379,0.4409064054489136,5.763276083464741e-05,0
transformer,5000,81920000,1.1656091213226318,0.46541786193847656,5.336178995422762e-05,0
transformer,5100,83558400,1.1900451183319092,0.4798658788204193,4.9417934778572044e-05,0
transformer,5200,85196800,1.1234838962554932,0.43261009454727173,4.581275135972358e-05,0
transformer,5300,86835200,1.1296136379241943,0.44701576232910156,4.2556803393699776e-05,0
transformer,5400,88473600,1.1555060148239136,0.4688720703125,3.965963126737308e-05,0
transformer,5500,90112000,1.1557077169418335,0.45730581879615784,3.712972410379133e-05,0
transformer,5600,91750400,1.1372191905975342,0.4583383798599243,3.497449488784985e-05,0
transformer,5700,93388800,1.1432902812957764,0.47782406210899353,3.320025874519967e-05,0
transformer,5800,95027200,1.1614452600479126,0.46714919805526733,3.181221443803868e-05,0
transformer,5900,96665600,1.131406545639038,0.47957098484039307,3.0814429132004806e-05,0
transformer,6000,98304000,1.1566920280456543,0.478925496339798,3.020982647880704e-05,0
