architecture,length_regime,task,examples,teacher_forced_exact_rate,token_accuracy,target_nll,autoregressive_examples,autoregressive_exact_rate,seed
csm,trained_length,variable_tracking,32,0.0,0.09375,2.2469536662101746,4,0.0,2
csm,trained_length,repeated_name_recall,32,0.4375,0.8676470588235294,0.3208383957252783,4,0.75,2
csm,trained_length,exact_value_retrieval,32,0.0,0.13125,2.2812324106693267,4,0.0,2
csm,trained_length,in_context_regression,32,0.03125,0.3389830508474576,1.7944722559492468,4,0.0,2
csm,trained_length,multi_hop,32,0.03125,0.03125,3.1455761417746544,4,0.0,2
csm,long_context,associative_recall,32,0.0,0.09375,2.2428807467222214,4,0.0,2
csm,long_context,variable_tracking,32,0.0,0.078125,2.2455900087952614,4,0.0,2
csm,long_context,repeated_name_recall,32,0.34375,0.8435374149659864,0.4064590720092358,4,0.25,2
csm,long_context,exact_value_retrieval,32,0.0,0.11875,2.2794094562530516,4,0.0,2
csm,long_context,in_context_regression,32,0.03125,0.3787878787878788,1.7788367379795422,4,0.0,2
csm,long_context,multi_hop,32,0.03125,0.03125,3.1030822470784187,4,0.0,2
