architecture,parameters,training_tokens,optimizer_steps,batch_tokens,training_seconds,training_tokens_per_second,peak_vram_bytes,nonfinite_steps,initial_window_loss,final_window_loss,loss_reduction_fraction,gradient_norm_mean,gradient_norm_max,seed,validation_tokens,validation_loss,validation_perplexity,decode_batch_size,decode_prompt_length,decode_tokens,decode_milliseconds,decode_tokens_per_second,decode_microseconds_per_token,decode_peak_vram_bytes,decode_actual_state_bytes
transformer,29499904,100007936,6104,16384,146.2460087640011,683833.6091714065,4912323072,0,3.3176969059178085,1.1286360877459167,0.6598133826713473,0.5927917234121113,7.716768741607666,0,524288,1.172936700284481,3.231468572405317,4,256,32,78.37332200142555,1633.20881048875,612.2915781361371,1350261248,18874368
csm,27468544,100007936,6104,16384,1451.8196036909994,68884.54718874657,12505591808,0,3.3697784939750295,1.1538687795889182,0.6575831967436526,0.9971972176265631,22.721261978149414,0,524288,1.194816343486309,3.302951106309385,4,256,32,248.42873699890333,515.2382995070536,1940.8495078039323,1552286720,1572864
transformer,29499904,100007936,6104,16384,136.6693137530001,731751.2121319529,5180758528,0,3.3466913317070635,1.1459885315816911,0.6575756716120124,0.6185483840266108,18.172344207763672,1,524288,1.1864096336066723,3.275300542590584,4,256,32,71.77397400118934,1783.3762416148081,560.7341718842918,1619689984,18874368
csm,27468544,100007936,6104,16384,1443.3890467269994,69286.88853970177,12498251776,0,3.374427864199779,1.1585247801952674,0.6566751974501008,1.2629766874845343,23.83408546447754,1,524288,1.1962262839078903,3.3076113551492625,4,256,32,252.51858800038463,506.893377685943,1972.8014687530049,1552286720,1572864
transformer,29499904,100007936,6104,16384,136.8706363750007,730674.8813967403,5177612800,0,3.323889682332023,1.144223675180654,0.6557576259938107,0.6102618888596641,7.512513160705566,2,524288,1.1870481930673122,3.277392684645955,4,256,32,77.1102950002387,1659.9599314151733,602.4241796893648,1615770112,18874368
csm,27468544,100007936,6104,16384,1442.8512662909998,69312.7131925946,12499300352,0,3.4176936454460267,1.1690636771624205,0.6579378380738827,1.2965074338233722,25.643648147583008,2,524288,1.2157582752406597,3.372850644037375,4,256,32,243.08469199968386,526.5654490500227,1899.0991562475301,1550189568,1572864
