experiment,method,seed,training_seconds,normalized_mse,stationary_normalized_mse,postchange_normalized_mse,mean_stationary_lambda,mean_change_lambda,drift_forgetting_correlation,mean_weight_clean,mean_weight_noisy,mean_weight_corrupted,mean_weight_distractor,oracle_weight_correlation,trace_offsets,error_trace,lambda_trace
joint,joint_fixed,0,23.124048528999992,0.9906803295016289,0.9891037940979004,1.006118655204773,1.0,1.0,0.0,0.9999999776482582,0.999999962747097,0.9999999925494194,0.9999999776482582,0.0,-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11,0.98246344;0.98485883;0.97838794;0.98041154;0.98764977;0.97091583;0.98368694;0.97780228;1.012776;1.0065503;1.0035654;1.0018617;1.0023416;1.0058184;0.99981331;0.994688;0.99121779;0.99079319;0.99224059;0.99489749,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
joint,joint_learned,0,30.25839281000026,0.7603027448058128,0.7322734594345093,1.0382000654935837,0.78509571403265,0.5801022127270699,0.5001954384669853,3.2654086351394653,0.11291521415114403,0.0021357405348680913,0.015123766264878213,0.9959762284120446,-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11,0.72263247;0.67849403;0.63585494;0.64987455;0.63390984;0.60062006;0.56779431;0.58957148;1.1043087;1.0586167;1.0368137;0.95933126;0.92240539;0.88914868;0.84058606;0.80222772;0.79159522;0.73291057;0.69928919;0.63898858,0.78300568;0.79113124;0.78619888;0.78321215;0.78037943;0.77749298;0.78425249;0.77928392;0.58010221;0.78666885;0.78954043;0.78273444;0.78699447;0.78466624;0.7887819;0.78462432;0.78248203;0.7940402;0.78526714;0.78603443
joint,joint_oracle,0,23.028322267000476,0.6266795173287392,0.6004700064659119,0.9211694598197937,1.0,0.009999999776482582,1.0,3.9999999403953552,0.0400000000372529,0.0010000000474974513,0.0010000000038417056,1.0,-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11,0.57597396;0.56798336;0.52189149;0.49428576;0.48618903;0.45338398;0.39203759;0.39417059;0.99940371;0.9504162;0.89586953;0.83738833;0.78386384;0.74940927;0.72959442;0.6741798;0.61989296;0.59050752;0.55221182;0.50608294,1;1;1;1;1;1;1;1;0.0099999998;1;1;1;1;1;1;1;1;1;1;1
joint,joint_fixed,1,22.384029343000293,1.0003277212381363,1.0003972053527832,1.0002447813749313,1.0,1.0,0.0,0.9999999850988388,0.9999999850988388,0.9999999850988388,0.9999999701976776,0.0,-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11,1.0016848;1.0011676;1.0002216;1.0003345;1.001013;1.0015874;1.000927;0.99890338;1.0001139;0.99975472;1.0006685;1.0005044;1.0005222;0.99855601;1.0006835;0.99928225;0.99980678;1.0007863;1.000591;1.0005239,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
joint,joint_learned,1,29.65506708799967,0.631194718182087,0.6073334068059921,0.905206173658371,0.9367516711354256,0.012807202176190913,0.8919680848270692,1.9081042408943176,0.031850782223045826,0.0010986095730913803,0.0018284703110111877,0.9737135433433514,-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11,0.60586526;0.59704218;0.56366009;0.4946837;0.51598973;0.44028208;0.44868005;0.42008736;0.97476183;0.91447859;0.88138032;0.85230333;0.8097182;0.77348304;0.71162113;0.66181931;0.6326262;0.57653535;0.57937646;0.52847835,0.94736382;0.92961863;0.94270802;0.94295467;0.93972855;0.93213021;0.93853169;0.94160371;0.012807202;0.94062878;0.92358915;0.93873489;0.93113865;0.92974692;0.92767228;0.9367084;0.93605833;0.931533;0.92739905;0.93948008
joint,joint_oracle,1,22.80130426100004,0.6286678835749626,0.6045952513813972,0.9133358672261238,1.0,0.009999999776482582,1.0,3.9999998807907104,0.039999999571591616,0.0010000000620493665,0.0010000000474974513,1.0,-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11,0.61153013;0.55827526;0.5633328;0.51719185;0.51830527;0.48027811;0.3957578;0.41158874;0.96651579;0.95951675;0.86758541;0.86208389;0.79659625;0.73683712;0.73832213;0.64585256;0.63313742;0.5721317;0.5645729;0.52360504,1;1;1;1;1;1;1;1;0.0099999998;1;1;1;1;1;1;1;1;1;1;1
joint,joint_fixed,2,22.442928887000562,0.9916921854019165,0.990881659090519,1.002762846648693,1.0,1.0,0.0,0.9999999850988388,0.9999999850988388,0.9999999850988388,0.9999999776482582,0.0,-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11,0.99454629;0.98879358;0.98758444;0.97464748;0.98097471;0.98446693;0.98070622;0.98471093;1.0057283;1.0022897;1.0002868;1.0027392;0.99823751;0.99889898;0.99566332;0.99823476;0.99250592;0.99101716;0.99612101;0.98968322,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
joint,joint_learned,2,29.758802268999716,0.6232946142554283,0.5950312912464142,0.8981487452983856,0.9358599558472633,0.013207024661824107,0.908683650371537,1.941886842250824,0.03300305921584368,0.001079659938113764,0.001820897130528465,0.9807869644368723,-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11,0.61645158;0.59419929;0.50160826;0.49654916;0.45738787;0.43280896;0.41582203;0.41342909;0.98034536;0.90134314;0.89626447;0.81261447;0.80651537;0.73730941;0.73634083;0.66830312;0.65819387;0.60597941;0.54053396;0.52714697,0.93409543;0.94233632;0.92929257;0.93991418;0.93982053;0.92935058;0.93449019;0.93463323;0.013207025;0.94169211;0.93180787;0.9342047;0.93090834;0.93198842;0.93512634;0.93744091;0.93074658;0.93971405;0.9369124;0.93415151
joint,joint_oracle,2,22.759856198000307,0.647969163954258,0.6251610964536667,0.9247473925352097,1.0,0.009999999776482582,1.0,3.9999999403953552,0.03999999910593033,0.0010000000183936208,0.001000000032945536,1.0,-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11,0.64567321;0.58760694;0.56914356;0.55335794;0.45910458;0.49138477;0.403436;0.39807972;0.9914913;0.96184359;0.90671124;0.842398;0.79628285;0.73965766;0.72386982;0.70067074;0.6284636;0.61968732;0.566573;0.54349968,1;1;1;1;1;1;1;1;0.0099999998;1;1;1;1;1;1;1;1;1;1;1
