operation,heads,d_key,d_value,aggregate_width,state_bytes,normalized_recall_mse,recall_quality,quality_per_megabyte,quality_per_wall_second,shape,milliseconds,minimum_milliseconds,cv,peak_vram_bytes,gpu_utilization_mean,gpu_utilization_peak,tokens,tokens_per_second,microseconds_per_token,estimated_flops,achieved_tflops,estimated_traffic_bytes,achieved_hbm_gbps
many_small_heads,1,128,128,128,262144,0.0005079952084181367,0.9994920047915818,3.812759417692497,1069.3894372833413,"{""batch_size"": 2, ""heads"": 1, ""sequence_length"": 128, ""d_key"": 128, ""d_value"": 128}",0.9346379999139268,0.9302423331973841,0.04986341775360552,479069696,11.0,11.0,256,273902.8372734424,3.6509296871637766,0.0,0.0,0.0,0.0
many_small_heads,2,64,64,128,131072,0.0005556824803347775,0.9994443175196652,7.6251550103734225,1440.767141784118,"{""batch_size"": 2, ""heads"": 2, ""sequence_length"": 128, ""d_key"": 64, ""d_value"": 64}",0.6936889997935699,0.6607846668581866,0.07392227885226166,454004224,12.0,12.0,256,369041.45816955616,2.7097226554436324,0.0,0.0,0.0,0.0
many_small_heads,4,32,32,128,65536,0.0007871603064693025,0.9992128396935307,15.246777949425212,1700.9036171840123,"{""batch_size"": 2, ""heads"": 4, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",0.5874600004365979,0.5761669999628793,0.08658631294776317,441214464,12.0,12.0,256,435774.3502702173,2.2947656267054604,0.0,0.0,0.0,0.0
many_small_heads,8,16,16,128,32768,0.002316953209704472,0.9976830467902955,30.446870324410874,1790.0743944895664,"{""batch_size"": 2, ""heads"": 8, ""sequence_length"": 128, ""d_key"": 16, ""d_value"": 16}",0.5573416668388139,0.5361823332350468,0.09019418832518651,434825728,11.0,11.0,256,459323.2755268529,2.177115886089117,0.0,0.0,0.0,0.0
