operation,shape,milliseconds,minimum_milliseconds,cv,peak_vram_bytes,gpu_utilization_mean,gpu_utilization_peak,tokens,tokens_per_second,microseconds_per_token,estimated_flops,achieved_tflops,estimated_traffic_bytes,achieved_hbm_gbps
outer_product_updates,"{""batch_size"": 8, ""heads"": 8, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",0.0678899999911664,0.0657243999739876,0.23800057299630695,151617536,3.0,3.0,1024,15083222.86247222,0.06629882811637344,33554432,0.4942470467574897,0.0,0.0
construct_S_C,"{""batch_size"": 8, ""heads"": 8, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",0.16896699999051634,0.1645876000111457,0.17106964305252034,117637120,5.0,5.0,1024,6060354.9808984855,0.16500683592823862,33554432,0.19858571201408157,0.0,0.0
cholesky,"{""batch_size"": 8, ""heads"": 8, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",0.10123179999936838,0.09662539996497799,0.10595264757395376,217101824,5.0,5.0,8,79026.55094594698,12.653974999921047,699050.6666666666,0.00690544539039144,0.0,0.0
triangular_solves,"{""batch_size"": 8, ""heads"": 8, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",0.06453080022765789,0.06136379997769836,0.12563227114903508,216846848,4.0,4.0,8,123971.80837331692,8.066350028457236,131072,0.0020311541083884244,0.0,0.0
sequential_decode,"{""batch_size"": 8, ""heads"": 8, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",46.255894001660636,43.630756001221016,0.20433493684722076,223273984,93.5,97.0,1024,22137.7193566562,45.171771485996715,139810133.3333333,0.0030225366161621262,0.0,0.0
training_forward,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 96, ""d_key"": 16, ""d_value"": 16}",0.48565039978711866,0.45656539987248834,0.09106423965304881,225197568,56.0,56.0,384,790692.2349252129,1.2647145827789548,0.0,0.0,0.0,0.0
backward,"{""batch_size"": 4, ""heads"": 4, ""sequence_length"": 96, ""d_key"": 16, ""d_value"": 16}",1.0906170009548077,1.060718999724486,0.12326388683140206,444022272,5.0,5.0,384,352094.2729334108,2.8401484399864785,0.0,0.0,0.0,0.0
memory_movement,128MiB_copy,0.062288800108945,0.06167579995235428,0.22302938879047818,703072256,3.0,3.0,0,0.0,0.0,0.0,0.0,268435456,4309.530052441181
kernel_launch,scalar_in_place_add,0.004617959984898334,0.004486180005187634,0.15022014522881771,703072768,3.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0
