operation,state_bytes,shape,milliseconds,minimum_milliseconds,cv,peak_vram_bytes,gpu_utilization_mean,gpu_utilization_peak,tokens,tokens_per_second,microseconds_per_token,estimated_flops,achieved_tflops,estimated_traffic_bytes,achieved_hbm_gbps
csm,262144,"{""batch_size"": 4, ""heads"": 8, ""sequence_length"": 256, ""d_key"": 32, ""d_value"": 32}",0.7763933329745972,0.7584470004076138,0.05420365362738423,599330816,14.0,14.0,1024,1318919.1051869893,0.7581966142330051,0.0,0.0,0.0,0.0
attention,1048576,"{""batch_size"": 4, ""heads"": 8, ""sequence_length"": 256, ""d_key"": 32, ""d_value"": 32}",0.0338943330765081,0.02740300017952298,0.30484278280214766,429983232,6.0,6.0,1024,30211540.014331378,0.03309993464502744,0.0,0.0,0.0,0.0
linear_memory,135168,"{""batch_size"": 4, ""heads"": 8, ""sequence_length"": 256, ""d_key"": 32, ""d_value"": 32}",0.26579466672653024,0.26272033331527683,0.09592723810094636,498630656,5.0,5.0,1024,3852597.9945774046,0.2595651042251272,0.0,0.0,0.0,0.0
