operation,shape,milliseconds,minimum_milliseconds,cv,peak_vram_bytes,gpu_utilization_mean,gpu_utilization_peak,tokens,tokens_per_second,microseconds_per_token,estimated_flops,achieved_tflops,estimated_traffic_bytes,achieved_hbm_gbps
A_vectorized,"{""batch_size"": 8, ""heads"": 8, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",0.18355600004724693,0.1791036000213353,0.15244026191265259,465764352,4.0,4.0,1024,5578678.984813488,0.17925390629613958,0.0,0.0,0.0,0.0
B_torch_compile,"{""batch_size"": 8, ""heads"": 8, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",0.2441839998937212,0.22778880011173896,0.07030528328878098,463536128,4.0,4.0,1024,4193558.9573669303,0.2384609373962121,0.0,0.0,0.0,0.0
C_chunked_32,"{""batch_size"": 8, ""heads"": 8, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",0.8226605998061132,0.8008794000488706,0.03865730790918296,439952384,16.0,16.0,1024,1244741.7564927007,0.8033794919981574,0.0,0.0,0.0,0.0
D_associative_scan,"{""batch_size"": 8, ""heads"": 8, ""sequence_length"": 128, ""d_key"": 32, ""d_value"": 32}",1.024884800062864,1.0145910000574077,0.012299772863830166,730496512,25.0,25.0,1024,999136.6833981636,1.0008640625613907,0.0,0.0,0.0,0.0
