architecture,parameters,training_tokens,optimizer_steps,batch_tokens,training_seconds,training_tokens_per_second,peak_vram_bytes,nonfinite_steps,initial_window_loss,final_window_loss,loss_reduction_fraction,gradient_norm_mean,gradient_norm_max,validation_tokens,validation_loss,validation_perplexity,decode_batch_size,decode_prompt_length,decode_tokens,decode_milliseconds,decode_tokens_per_second,decode_microseconds_per_token,decode_peak_vram_bytes,decode_actual_state_bytes
transformer,5574400,10002432,1221,8192,20.60055382199971,485541.89787452307,1085869056,0,4.3860393313110855,1.9583310162434813,0.5535081041651096,1.9429649258006507,24.166362762451172,262144,2.103197555989027,8.192323489558726,4,128,32,67.83034999898518,1887.0608805927586,529.9246093670718,338311168,4587520
csm,5130096,10002432,1221,8192,82.28519102799874,121558.1063255541,2991553024,0,4.396119961973096,2.1483637074955175,0.5113045762902079,5.042842904397155,38.18535614013672,262144,2.2922081723809242,9.896767338777439,4,128,32,208.17849199920602,614.8569853243446,1626.394468743797,594639360,688128
hybrid,5383984,10002432,1221,8192,37.050155963999714,269970.03763544204,2187012608,0,4.415777339309942,2.089452262784614,0.5268211908730129,2.461150044891114,149.4909210205078,262144,2.2151847407221794,9.163101753289373,4,128,32,131.25930599926505,975.1689529785926,1025.4633281192582,618950144,1343488
recurrent,6961408,10002432,1221,8192,128.70792149299996,77714.1910456848,1574324224,0,4.412383822144055,1.6370506736098742,0.6289872459884049,1.9326721233583493,57.04555892944336,262144,1.7570327259600163,5.795215862950639,4,128,32,114.20959499992023,1120.746466179916,892.2624609368768,628453376,14336
