architecture,step,tokens,loss,gradient_norm,learning_rate
hybrid,150,1228800,3.423341989517212,0.22736413776874542,0.0002986744519204201
hybrid,200,1638400,3.4903149604797363,0.24055597186088562,0.0002947238384625884
hybrid,250,2048000,3.21638822555542,1.0049231052398682,0.000288225740783278
hybrid,300,2457600,3.032970428466797,3.1286370754241943,0.0002793077668958183
hybrid,350,2867200,2.8517303466796875,2.137836456298828,0.00026814504573591697
hybrid,400,3276800,2.8391623497009277,2.5099563598632812,0.00025495678802352055
hybrid,450,3686400,2.7006516456604004,1.389719009399414,0.0002400019814576463
hybrid,500,4096000,2.6552391052246094,4.321704864501953,0.0002235743047808703
hybrid,550,4505600,2.6247096061706543,5.654632568359375,0.00020599636058979797
hybrid,600,4915200,2.5276618003845215,5.370777130126953,0.0001876133401461394
hybrid,650,5324800,2.417588233947754,1.8866430521011353,0.00016878624459724232
hybrid,700,5734400,2.4131226539611816,1.55838143825531,0.00014988479572605344
hybrid,750,6144000,2.327779769897461,5.40110445022583,0.00013128017544742433
hybrid,800,6553600,2.2552132606506348,2.816009998321533,0.00011333773663071288
hybrid,850,6963200,2.2873730659484863,2.9442219734191895,9.640982839171855e-05
hybrid,900,7372800,2.2310142517089844,2.870131254196167,8.082887674907099e-05
hybrid,950,7782400,2.15116548538208,2.894465923309326,6.690085652540637e-05
hybrid,1000,8192000,2.1426734924316406,1.8757511377334595,5.489928269049988e-05
hybrid,1050,8601600,2.1318225860595703,1.9395147562026978,4.505983914285226e-05
hybrid,1100,9011200,2.121288299560547,2.6082992553710938,3.757575040837037e-05
hybrid,1150,9420800,2.0919156074523926,1.6343042850494385,3.259398714556389e-05
hybrid,1200,9830400,2.093317985534668,2.170733690261841,3.0212379972594758e-05
hybrid,1221,10002432,1.986429214477539,1.7685744762420654,2.9999999999999997e-05
recurrent,1,8192,5.571000099182129,3.4682741165161133,5.999999999999999e-06
recurrent,50,409600,3.7469754219055176,1.5836949348449707,0.00015299999999999998
recurrent,100,819200,3.4829745292663574,0.2578713297843933,0.0003
recurrent,150,1228800,3.5172338485717773,0.38533714413642883,0.0002986744519204201
recurrent,200,1638400,3.3171591758728027,0.5034680366516113,0.0002947238384625884
recurrent,250,2048000,3.377518892288208,0.7854994535446167,0.000288225740783278
recurrent,300,2457600,3.185575008392334,5.191497802734375,0.0002793077668958183
recurrent,350,2867200,2.755553722381592,1.2813445329666138,0.00026814504573591697
recurrent,400,3276800,2.6353442668914795,2.341723680496216,0.00025495678802352055
recurrent,450,3686400,2.500340461730957,1.750201940536499,0.0002400019814576463
recurrent,500,4096000,2.3515026569366455,1.6270582675933838,0.0002235743047808703
recurrent,550,4505600,2.252444267272949,7.3059258460998535,0.00020599636058979797
recurrent,600,4915200,2.077650547027588,2.089369535446167,0.0001876133401461394
recurrent,650,5324800,2.011127471923828,1.8261387348175049,0.00016878624459724232
recurrent,700,5734400,2.002350330352783,2.388400077819824,0.00014988479572605344
recurrent,750,6144000,1.8618723154067993,1.3076380491256714,0.00013128017544742433
recurrent,800,6553600,1.765486478805542,1.7045457363128662,0.00011333773663071288
recurrent,850,6963200,1.815077781677246,1.4873753786087036,9.640982839171855e-05
recurrent,900,7372800,1.7021347284317017,1.3750485181808472,8.082887674907099e-05
recurrent,950,7782400,1.7905082702636719,1.8247876167297363,6.690085652540637e-05
recurrent,1000,8192000,1.7296364307403564,1.2527403831481934,5.489928269049988e-05
recurrent,1050,8601600,1.7347595691680908,1.5136003494262695,4.505983914285226e-05
recurrent,1100,9011200,1.6396427154541016,1.5565400123596191,3.757575040837037e-05
recurrent,1150,9420800,1.636642336845398,1.3368245363235474,3.259398714556389e-05
recurrent,1200,9830400,1.602881669998169,1.628315806388855,3.0212379972594758e-05
recurrent,1221,10002432,1.6632637977600098,1.5892030000686646,2.9999999999999997e-05
