data_model,pattern,sigmas,seed,method,squared_error,weighted_to_analytic_error,gaussian_expected_weighted_risk,gaussian_expected_uniform_risk
linear_gaussian,1,0.1;0.3;1.0;2.0,0,precision_weighted_csm,0.06279665364031128,1.4667937253007264e-10,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,0,uniform_csm,0.11702974062548707,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,0,analytic_precision_mean,0.06279665365808404,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,1,precision_weighted_csm,0.018280346881539778,1.9967060465361812e-10,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,1,uniform_csm,0.4596565547526624,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,1,analytic_precision_mean,0.01828034691446433,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,2,precision_weighted_csm,0.015112059796080067,1.1810793103442916e-10,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,2,uniform_csm,0.9610885952036385,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,2,analytic_precision_mean,0.015112059783445857,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,3,precision_weighted_csm,0.032211126698600365,8.523688677718523e-11,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,3,uniform_csm,1.0005086380254467,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,3,analytic_precision_mean,0.032211126699645515,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,4,precision_weighted_csm,0.028579886941825283,1.6105576585533907e-10,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,4,uniform_csm,1.3725880912236081,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,4,analytic_precision_mean,0.028579886963262042,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,5,precision_weighted_csm,0.06865922202395294,3.1310395639687776e-10,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,5,uniform_csm,0.33515181497924895,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,5,analytic_precision_mean,0.06865922217523877,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,6,precision_weighted_csm,0.004511228350306214,1.0362335753497259e-10,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,6,uniform_csm,1.113394184892378,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,6,analytic_precision_mean,0.004511228343124805,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,7,precision_weighted_csm,0.04628413605300791,2.4348929947253793e-10,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,7,uniform_csm,0.8273310586248004,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,7,analytic_precision_mean,0.04628413611819154,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,8,precision_weighted_csm,0.010354801679449759,1.3919571416094556e-10,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,8,uniform_csm,0.6086257719407691,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,8,analytic_precision_mean,0.010354801690189376,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,9,precision_weighted_csm,0.025556492051115143,1.369226679526136e-10,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,9,uniform_csm,1.0226059008220922,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,9,analytic_precision_mean,0.025556492070591526,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,10,precision_weighted_csm,0.012328721482959116,1.1473451317112426e-10,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,10,uniform_csm,0.8945421582533044,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,10,analytic_precision_mean,0.012328721498864076,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,11,precision_weighted_csm,0.04088668577700825,1.6208955289101634e-10,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,11,uniform_csm,0.9060679730292248,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,11,analytic_precision_mean,0.04088668582350616,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,12,precision_weighted_csm,0.03594426376280848,9.212540275782691e-11,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,12,uniform_csm,2.3092811664450648,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,12,analytic_precision_mean,0.035944263772407,nan,0.03559950556242275,1.275
