data_model,bin,count,mean_uncertainty,mean_predicted_total_mse,mean_actual_squared_error,empirical_to_predicted_ratio
linear_gaussian,0,720,0.1111111111111111,0.4444444444444444,0.46082917660367484,1.0368656473582685
linear_gaussian,1,720,0.13333333333333333,0.5333333333333333,0.5215190078083621,0.977848139640679
linear_gaussian,2,720,0.1666666666666667,0.6666666666666669,0.6524333235119048,0.9786499852678568
linear_gaussian,3,720,0.29999999999999993,1.1999999999999997,1.1158666307172935,0.9298888589310782
linear_gaussian,4,720,0.3888888888888889,1.5555555555555556,1.5571061984824663,1.0009968418815856
linear_gaussian,5,720,0.6111111111111109,2.4444444444444438,2.269059559307887,0.9282516378986814
linear_gaussian,6,720,0.8444444444444444,3.3777777777777778,3.276462958427264,0.9700054811133348
linear_gaussian,7,720,1.0000000000000002,4.000000000000001,3.7508419750207187,0.9377104937551795
laplace,0,720,0.1111111111111111,0.4444444444444444,0.4271730055295945,0.9611392624415876
laplace,1,720,0.13333333333333333,0.5333333333333333,0.5004264958440764,0.9382996797076433
laplace,2,720,0.1666666666666667,0.6666666666666669,0.6087828427072198,0.9131742640608295
laplace,3,720,0.2999999999999999,1.1999999999999995,1.1164317006163276,0.9303597505136066
laplace,4,720,0.3888888888888889,1.5555555555555556,1.4273265484412898,0.9175670668551149
laplace,5,720,0.6111111111111109,2.4444444444444438,2.237439407673197,0.9153161213208536
laplace,6,720,0.8444444444444444,3.3777777777777778,3.1343455214516887,0.9279312399034605
laplace,7,720,1.0000000000000002,4.000000000000001,3.6410140731599445,0.9102535182899859
student_like,0,720,0.1111111111111111,0.4444444444444444,0.47133481648520453,1.0605033370917103
student_like,1,720,0.13333333333333333,0.5333333333333333,0.5308594295622346,0.99536143042919
student_like,2,720,0.1666666666666667,0.6666666666666669,0.7269411947074657,1.0904117920611982
student_like,3,720,0.2999999999999999,1.1999999999999995,1.1545636788202331,0.9621363990168613
student_like,4,720,0.3888888888888889,1.5555555555555556,1.6322737945975854,1.0493188679555905
student_like,5,720,0.6111111111111109,2.4444444444444438,2.486077227163634,1.0170315929305778
student_like,6,720,0.8444444444444444,3.3777777777777778,3.5020807692039244,1.036800227724846
student_like,7,720,1.0000000000000002,4.000000000000001,4.199865602272747,1.0499664005681866
nonlinear,0,720,0.1111111111111111,0.4444444444444444,0.4918264795911409,1.1066095790800672
nonlinear,1,720,0.13333333333333333,0.5333333333333333,0.5690282554642061,1.0669279789953865
nonlinear,2,720,0.1666666666666667,0.6666666666666669,0.7205089118899224,1.0807633678348834
nonlinear,3,720,0.29999999999999993,1.1999999999999997,1.3588343176663464,1.1323619313886222
nonlinear,4,720,0.3888888888888889,1.5555555555555556,1.7323989595214375,1.1136850454066385
nonlinear,5,720,0.6111111111111109,2.4444444444444438,3.0035043590372164,1.2287063286970434
nonlinear,6,720,0.8444444444444444,3.3777777777777778,3.8057882452024363,1.1267136252244054
nonlinear,7,720,1.0000000000000002,4.000000000000001,4.874072705912306,1.2185181764780764
