data_model,distance_outside_observed_span,mean_uncertainty,mean_actual_squared_error,query_count
linear_gaussian,0.0,0.1111111111111111,0.44010761622770167,1152
linear_gaussian,0.25,0.16666666666666666,0.6634304405904166,1152
linear_gaussian,0.5,0.3333333333333333,1.302625218133935,1152
linear_gaussian,0.75,0.6111111111111112,2.3417157712008083,1152
linear_gaussian,1.0,1.0,3.7546952225218715,1152
laplace,0.0,0.1111111111111111,0.42911759285969414,1152
laplace,0.25,0.16666666666666666,0.6145689003822423,1152
laplace,0.5,0.3333333333333333,1.2409763812714962,1152
laplace,0.75,0.6111111111111112,2.301116961023508,1152
laplace,1.0,1.0,3.5973074116026464,1152
student_like,0.0,0.1111111111111111,0.4624254081677541,1152
student_like,0.25,0.16666666666666666,0.7181875001757267,1152
student_like,0.5,0.3333333333333333,1.3256357243792891,1152
student_like,0.75,0.6111111111111112,2.5352180900472714,1152
student_like,1.0,1.0,4.148531097738102,1152
nonlinear,0.0,0.1111111111111111,0.48881362033983844,1152
nonlinear,0.25,0.16666666666666666,0.7144580665274121,1152
nonlinear,0.5,0.3333333333333333,1.5181224933918804,1152
nonlinear,0.75,0.6111111111111112,2.9626345120498487,1152
nonlinear,1.0,1.0,4.663447704119154,1152
