data_model,trial,query_index,distance_outside_observed_span,uncertainty,predicted_total_mse,actual_squared_error,normalized_squared_error,coordinate_95_coverage
linear_gaussian,0,0,0.0,0.1111111111111111,0.4444444444444444,0.6830856808207832,1.5369427818467625,1.0
linear_gaussian,0,1,0.0,0.11111111111111113,0.44444444444444453,0.189070474016921,0.4254085665380722,1.0
linear_gaussian,0,2,0.0,0.11111111111111109,0.44444444444444436,0.6946831684553892,1.563037129024626,0.75
linear_gaussian,0,3,0.0,0.11111111111111108,0.4444444444444443,0.16534658945019137,0.3720298262629307,1.0
linear_gaussian,0,4,0.0,0.1111111111111111,0.4444444444444444,0.6013322667114862,1.3529976001008441,0.75
linear_gaussian,0,5,0.0,0.11111111111111108,0.4444444444444443,0.7137418566858034,1.6059191775430581,1.0
linear_gaussian,0,6,0.0,0.11111111111111106,0.44444444444444425,0.3258374020480562,0.7331341546081268,1.0
linear_gaussian,0,7,0.0,0.11111111111111109,0.44444444444444436,0.3155773927378478,0.7100491336601576,1.0
linear_gaussian,0,8,0.0,0.11111111111111108,0.4444444444444443,0.43099842422546797,0.9697464545073032,1.0
linear_gaussian,0,9,0.0,0.11111111111111108,0.4444444444444443,0.7738826795146726,1.741236028908014,1.0
linear_gaussian,0,10,0.0,0.11111111111111109,0.44444444444444436,0.2624978619502856,0.5906201893881428,1.0
linear_gaussian,0,11,0.0,0.1111111111111111,0.4444444444444444,0.9903851321724928,2.228366547388109,0.75
linear_gaussian,0,12,0.0,0.11111111111111109,0.44444444444444436,0.20896959566480452,0.47018159024581024,1.0
linear_gaussian,0,13,0.0,0.11111111111111106,0.44444444444444425,0.08265069805580985,0.18596407062557224,1.0
linear_gaussian,0,14,0.0,0.11111111111111106,0.44444444444444425,0.21990520910814307,0.4947867204933221,1.0
linear_gaussian,0,15,0.0,0.1111111111111111,0.4444444444444444,0.681478172933822,1.5333258891010995,0.75
linear_gaussian,0,16,0.0,0.11111111111111113,0.44444444444444453,0.39427920587868315,0.8871282132270369,1.0
linear_gaussian,0,17,0.0,0.11111111111111109,0.44444444444444436,0.03171417004810418,0.07135688260823442,1.0
linear_gaussian,0,18,0.0,0.1111111111111111,0.4444444444444444,0.020616822653877577,0.046387850971224553,1.0
linear_gaussian,0,19,0.0,0.11111111111111108,0.4444444444444443,0.3535075454545046,0.7953919772726356,1.0
linear_gaussian,0,20,0.0,0.11111111111111106,0.44444444444444425,0.3060702665622361,0.6886580997650316,1.0
linear_gaussian,0,21,0.0,0.11111111111111108,0.4444444444444443,0.272156892946613,0.6123530091298794,1.0
linear_gaussian,0,22,0.0,0.1111111111111111,0.4444444444444444,0.11887797496801647,0.26747544367803705,1.0
linear_gaussian,0,23,0.0,0.11111111111111106,0.44444444444444425,0.6571376191979738,1.4785596431954415,1.0
linear_gaussian,0,24,0.25,0.16666666666666669,0.6666666666666667,0.15632443930253095,0.23448665895379642,1.0
linear_gaussian,0,25,0.25,0.16666666666666663,0.6666666666666665,0.6239066741212791,0.9358600111819189,1.0
linear_gaussian,0,26,0.25,0.16666666666666669,0.6666666666666667,0.46136115911225895,0.6920417386683884,1.0
linear_gaussian,0,27,0.25,0.16666666666666657,0.6666666666666663,0.17468663713519098,0.2620299557027866,1.0
linear_gaussian,0,28,0.25,0.16666666666666669,0.6666666666666667,0.6533395852977788,0.9800093779466681,1.0
linear_gaussian,0,29,0.25,0.16666666666666669,0.6666666666666667,0.7558078325275459,1.1337117487913186,1.0
linear_gaussian,0,30,0.25,0.16666666666666655,0.6666666666666662,0.5057666522971015,0.7586499784456527,1.0
linear_gaussian,0,31,0.25,0.16666666666666666,0.6666666666666666,1.3518212929601887,2.027731939440283,1.0
linear_gaussian,0,32,0.25,0.16666666666666663,0.6666666666666665,0.8853547903937107,1.3280321855905663,0.75
linear_gaussian,0,33,0.25,0.16666666666666657,0.6666666666666663,0.436879049869389,0.655318574804084,1.0
linear_gaussian,0,34,0.25,0.16666666666666669,0.6666666666666667,0.28285767456575717,0.4242865118486357,1.0
linear_gaussian,0,35,0.25,0.16666666666666657,0.6666666666666663,0.6728874040997128,1.0093311061495698,1.0
linear_gaussian,0,36,0.25,0.16666666666666663,0.6666666666666665,0.42244543001614865,0.6336681450242231,1.0
linear_gaussian,0,37,0.25,0.16666666666666666,0.6666666666666666,0.6769355969640423,1.0154033954460635,1.0
linear_gaussian,0,38,0.25,0.1666666666666666,0.6666666666666664,0.5406738666991984,0.8110108000487979,1.0
linear_gaussian,0,39,0.25,0.16666666666666666,0.6666666666666666,0.4280334073693065,0.6420501110539598,1.0
linear_gaussian,0,40,0.25,0.16666666666666663,0.6666666666666665,0.7334273878025175,1.1001410817037764,1.0
linear_gaussian,0,41,0.25,0.16666666666666657,0.6666666666666663,0.20701401443366638,0.3105210216504997,1.0
linear_gaussian,0,42,0.25,0.1666666666666667,0.6666666666666669,0.18809569200165704,0.2821435380024855,1.0
linear_gaussian,0,43,0.25,0.16666666666666657,0.6666666666666663,0.48727453752607974,0.73091180628912,1.0
linear_gaussian,0,44,0.25,0.1666666666666666,0.6666666666666664,0.4362265461117213,0.6543398191675822,1.0
linear_gaussian,0,45,0.25,0.1666666666666666,0.6666666666666664,0.4312404689162855,0.6468607033744285,1.0
linear_gaussian,0,46,0.25,0.1666666666666666,0.6666666666666664,0.6786100110128862,1.0179150165193298,1.0
linear_gaussian,0,47,0.25,0.1666666666666667,0.6666666666666669,0.6063442386344713,0.9095163579517067,1.0
linear_gaussian,0,48,0.5,0.33333333333333337,1.3333333333333335,0.6145574050482605,0.4609180537861953,1.0
linear_gaussian,0,49,0.5,0.33333333333333326,1.333333333333333,2.7866043051935225,2.0899532288951423,0.75
linear_gaussian,0,50,0.5,0.33333333333333326,1.333333333333333,1.6388059863449784,1.229104489758734,0.75
linear_gaussian,0,51,0.5,0.33333333333333304,1.3333333333333321,1.2002157652400012,0.9001618239300017,1.0
linear_gaussian,0,52,0.5,0.3333333333333331,1.3333333333333324,0.48343360901690285,0.3625752067626774,1.0
linear_gaussian,0,53,0.5,0.3333333333333332,1.3333333333333328,1.9276532815344636,1.4457399611508484,1.0
linear_gaussian,0,54,0.5,0.3333333333333331,1.3333333333333324,0.4813782029253496,0.36103365219401246,1.0
linear_gaussian,0,55,0.5,0.33333333333333304,1.3333333333333321,1.3171631854331198,0.9878723890748408,1.0
linear_gaussian,0,56,0.5,0.333333333333333,1.333333333333332,0.5091161837735646,0.38183713783017387,1.0
linear_gaussian,0,57,0.5,0.33333333333333315,1.3333333333333326,2.305798702660955,1.7293490269957172,1.0
linear_gaussian,0,58,0.5,0.33333333333333326,1.333333333333333,1.3196935774875518,0.989770183115664,1.0
linear_gaussian,0,59,0.5,0.33333333333333315,1.3333333333333326,1.1716280676290796,0.8787210507218102,1.0
linear_gaussian,0,60,0.5,0.333333333333333,1.333333333333332,0.41573232355573847,0.3117992426668042,1.0
linear_gaussian,0,61,0.5,0.33333333333333326,1.333333333333333,1.7753811508483417,1.3315358631362566,1.0
linear_gaussian,0,62,0.5,0.33333333333333337,1.3333333333333335,1.1389859752066247,0.8542394814049684,1.0
linear_gaussian,0,63,0.5,0.3333333333333331,1.3333333333333324,1.4766910404297273,1.1075182803222963,1.0
linear_gaussian,0,64,0.5,0.3333333333333334,1.3333333333333337,0.28615970814973857,0.21461978111230387,1.0
linear_gaussian,0,65,0.5,0.33333333333333304,1.3333333333333321,1.1212849720135274,0.8409637290101463,1.0
linear_gaussian,0,66,0.5,0.33333333333333326,1.333333333333333,1.1042359001661206,0.8281769251245906,1.0
linear_gaussian,0,67,0.5,0.33333333333333337,1.3333333333333335,1.5116389404217507,1.1337292053163128,0.75
linear_gaussian,0,68,0.5,0.33333333333333315,1.3333333333333326,0.7077390582904279,0.5308042937178212,1.0
linear_gaussian,0,69,0.5,0.33333333333333326,1.333333333333333,1.9667180978281167,1.4750385733710878,0.75
